symbol,name_ar,name_en,sector,business_class,vision2030_theme,event_exposure_overall,primary_event_driver,event_confidence,seasonal_hajj_exposure,seasonal_ramadan_exposure,seasonal_primary_drivers,index_membership_summary,source_type,source_freshness_status,review_priority,classification_risk
4040,الشركة السعودية للنقل الجماعي,Saudi Public Transport Co.,النقل,transportation_logistics,logistics_and_transport,high,transport_mobility,high,medium,none,transport,TASI:needs_verification,official,current,none,low
4050,الشركة السعودية لخدمات السيارات والمعدات,Saudi Automotive Services Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4051,شركة باعظيم التجارية,Baazeem Trading Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4061,مجموعة أنعام الدولية القابضة,Anaam International Holding Group,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4070,شركة تهامة للإعلان والعلاقات العامة والتسويق,"Tihama Advertising, Public Relations and Marketing Co.",الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,medium,media_advertising,medium,none,medium,advertising_media,TASI:needs_verification,official,current,medium,medium
4071,الشركة العربية للتعهدات الفنية,Arabian Contracting Services Co.,الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4072,شركة مجموعة إم بي سي,MBC Group Co.,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,high,media_advertising,medium,none,high,advertising_media,TASI:needs_verification,official,current,none,low
4080,شركة سناد القابضة,Sinad Holding Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4081,شركة النايفات للتمويل,Nayifat Finance Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4082,شركة المرابحة المرنة للتمويل,Morabaha Marina Financing Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
